#=======================================================================================================================
# InTensors - KeroML - Theoretical branching index limits
#=======================================================================================================================
#
# Author           : Nimal Naser (n2[ⓐⓣ]intensors.com)
# Company          : InTensors
# Version          : 3.3.0
# Created on       : 26 April 2026
# Last modified on : 26 June 2026
#
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
#
#
#-----------------------------------------------------------------------------------------------------------------------
# Changelog
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
# Information
#-----------------------------------------------------------------------------------------------------------------------
#
#
#-----------------------------------------------------------------------------------------------------------------------
# Data
#-----------------------------------------------------------------------------------------------------------------------
theoretical_brix_id	nor_par_carbon_number	nor_par_brix_min	nor_par_brix_max	iso_par_carbon_number	iso_par_brix_min	iso_par_brix_max	mon_nap_carbon_number	mon_nap_brix_min	mon_nap_brix_max	di_nap_carbon_number	di_nap_brix_min	di_nap_brix_max	tri_nap_carbon_number	tri_nap_brix_min	tri_nap_brix_max	mon_aro_carbon_number	mon_aro_brix_min	mon_aro_brix_max	di_aro_carbon_number	di_aro_brix_min	di_aro_brix_max	nap_aro_carbon_number	nap_aro_brix_min	nap_aro_brix_max	olef_carbon_number	olef_brix_min	olef_brix_max	oxy_carbon_number	oxy_brix_min	oxy_brix_max	inde_carbon_number	inde_brix_min	inde_brix_max	dien_carbon_number	dien_brix_min	dien_brix_max	theoretical_brix_distribution_tier
CHTA_THBR_A0_000011	16	0.000000E+00	0.000000E+00	16	7.000000E-02	2.400000E+00	16	0.000000E+00	1.700000E+00	16	1.000000E+00	1.500000E+00	16	2.000000E+00	2.880000E+00	16	0.000000E+00	2.200000E+00	16	2.000000E+00	2.500000E+00	16	0.000000E+00	4.330000E+00	16	7.000000E-02	2.400000E+00	16	7.000000E-02	2.400000E+00	16	0.000000E+00	4.330000E+00	16	7.000000E-02	2.400000E+00	internal only
CHTA_THBR_A0_000012	17	0.000000E+00	0.000000E+00	17	6.000000E-02	2.170000E+00	17	0.000000E+00	1.900000E+00	17	5.000000E-01	1.880000E+00	17	2.000000E+00	3.250000E+00	17	0.000000E+00	2.600000E+00	17	1.000000E+00	2.880000E+00	17	0.000000E+00	4.750000E+00	17	6.000000E-02	2.170000E+00	17	6.000000E-02	2.600000E+00	17	0.000000E+00	4.750000E+00	17	6.000000E-02	2.170000E+00	internal only
CHTA_THBR_A0_000013	18	0.000000E+00	0.000000E+00	18	6.000000E-02	2.330000E+00	18	0.000000E+00	2.100000E+00	18	5.000000E-01	2.250000E+00	18	1.500000E+00	3.000000E+00	18	0.000000E+00	2.600000E+00	18	1.000000E+00	3.250000E+00	18	0.000000E+00	4.430000E+00	18	6.000000E-02	2.330000E+00	18	6.000000E-02	2.330000E+00	18	0.000000E+00	4.430000E+00	18	6.000000E-02	2.330000E+00	internal only
CHTA_THBR_A0_000014	19	0.000000E+00	0.000000E+00	19	6.000000E-02	2.500000E+00	19	0.000000E+00	2.300000E+00	19	5.000000E-01	2.000000E+00	19	1.500000E+00	3.200000E+00	19	0.000000E+00	2.800000E+00	19	1.000000E+00	3.000000E+00	19	0.000000E+00	4.710000E+00	19	6.000000E-02	2.500000E+00	19	6.000000E-02	2.500000E+00	19	0.000000E+00	4.710000E+00	19	6.000000E-02	2.500000E+00	internal only
CHTA_THBR_A0_000015	20	0.000000E+00	0.000000E+00	20	5.000000E-02	2.670000E+00	20	0.000000E+00	2.500000E+00	20	0.000000E+00	2.200000E+00	20	1.500000E+00	3.400000E+00	20	0.000000E+00	3.000000E+00	20	0.000000E+00	3.200000E+00	20	0.000000E+00	5.140000E+00	20	5.000000E-02	2.670000E+00	20	5.000000E-02	2.670000E+00	20	0.000000E+00	5.000000E+00	20	5.000000E-02	2.670000E+00	internal only
CHTA_THBR_A0_000016	21	0.000000E+00	0.000000E+00	21	5.000000E-02	2.570000E+00	21	0.000000E+00	2.800000E+00	21	0.000000E+00	2.400000E+00	21	1.000000E+00	3.700000E+00	21	0.000000E+00	3.200000E+00	21	0.000000E+00	3.400000E+00	21	0.000000E+00	5.430000E+00	21	5.000000E-02	2.830000E+00	21	5.000000E-02	2.830000E+00	21	0.000000E+00	5.290000E+00	21	5.000000E-02	2.570000E+00	internal only
CHTA_THBR_A0_000017	22	0.000000E+00	0.000000E+00	22	5.000000E-02	2.710000E+00	22	0.000000E+00	2.670000E+00	22	0.000000E+00	2.600000E+00	22	1.000000E+00	3.800000E+00	22	0.000000E+00	3.500000E+00	22	0.000000E+00	3.600000E+00	22	0.000000E+00	5.570000E+00	22	5.000000E-02	3.000000E+00	22	5.000000E-02	3.000000E+00	22	0.000000E+00	5.570000E+00	22	5.000000E-02	2.710000E+00	internal only
CHTA_THBR_A0_000018	23	0.000000E+00	0.000000E+00	23	5.000000E-02	2.860000E+00	23	0.000000E+00	2.830000E+00	23	0.000000E+00	2.800000E+00	23	1.000000E+00	4.000000E+00	23	0.000000E+00	3.330000E+00	23	0.000000E+00	3.800000E+00	23	0.000000E+00	5.860000E+00	23	5.000000E-02	2.860000E+00	23	5.000000E-02	2.860000E+00	23	0.000000E+00	6.140000E+00	23	5.000000E-02	2.860000E+00	internal only
CHTA_THBR_A0_000019	24	0.000000E+00	0.000000E+00	24	4.000000E-02	3.000000E+00	24	0.000000E+00	3.000000E+00	24	0.000000E+00	3.100000E+00	24	5.000000E-01	4.200000E+00	24	0.000000E+00	3.500000E+00	24	0.000000E+00	4.000000E+00	24	0.000000E+00	6.290000E+00	24	4.000000E-02	3.000000E+00	24	4.000000E-02	3.000000E+00	24	0.000000E+00	6.140000E+00	24	4.000000E-02	3.000000E+00	internal only
CHTA_THBR_A0_000020	25	0.000000E+00	0.000000E+00	25	4.000000E-02	3.140000E+00	25	0.000000E+00	3.170000E+00	25	0.000000E+00	3.300000E+00	25	5.000000E-01	4.500000E+00	25	0.000000E+00	3.670000E+00	25	0.000000E+00	4.200000E+00	25	0.000000E+00	5.940000E+00	25	4.000000E-02	3.140000E+00	25	4.000000E-02	3.140000E+00	25	0.000000E+00	6.570000E+00	25	4.000000E-02	3.140000E+00	internal only
