keroml_id,mixture_id,mixture_name,cetane_number_val,cn_less_branch,cn_mean_branch,cn_more_branch,cn_branch_span
KERO_TRDS_A0_000000,CHTA_MXTR_A0_00245,POSF 3895 (JP-8),,53.363911293997404,48.71394952243201,44.06398775086663,9.299923543130774
KERO_TRDS_A0_000001,CHTA_MXTR_A0_00246,POSF 3896 (JP-8),,51.018447070247795,46.61552546127868,42.21260385230955,8.805843217938246
KERO_TRDS_A0_000002,CHTA_MXTR_A0_00247,POSF 3897 (JP-8),,54.25568120399427,49.46550331720206,44.675325430409835,9.580355773584436
KERO_TRDS_A0_000003,CHTA_MXTR_A0_00248,POSF 3898 (JP-8),,52.40452408925365,47.65164459536863,42.89876510148362,9.50575898777003
KERO_TRDS_A0_000004,CHTA_MXTR_A0_00249,POSF 3899 (JET A),,51.46142530609693,47.116707961107025,42.77199061611713,8.689434689979798
KERO_TRDS_A0_000005,CHTA_MXTR_A0_00250,POSF 3900 (JP-8),,54.41278571160762,49.601516556882146,44.79024740215666,9.62253830945096
KERO_TRDS_A0_000006,CHTA_MXTR_A0_00251,POSF 3901 (JET A),,51.72862796214542,47.07928647004031,42.42994497793519,9.298682984210224
KERO_TRDS_A0_000007,CHTA_MXTR_A0_00252,POSF 3902 (JP-8),,54.29515916526648,49.53333990356086,44.77152064185522,9.523638523411265
KERO_TRDS_A0_000008,CHTA_MXTR_A0_00253,POSF 3938 (JP-8),,54.60097086284213,49.74867785503216,44.89638484722221,9.704586015619924
KERO_TRDS_A0_000009,CHTA_MXTR_A0_00254,POSF 3939 (JP-5),,50.07546693219875,45.44851723109594,40.821567529993125,9.253899402205626
KERO_TRDS_A0_000010,CHTA_MXTR_A0_00255,POSF 3940 (JP-5),,50.97128751702561,46.476945919579876,41.98260432213414,8.988683194891472
KERO_TRDS_A0_000011,CHTA_MXTR_A0_00256,POSF 3941 (JET A-1),,54.13927733261559,49.478373156329226,44.817468980042875,9.321808352572717
KERO_TRDS_A0_000012,CHTA_MXTR_A0_00257,POSF 3960 (JET A),,51.530034037216744,47.09112056006194,42.652207082907125,8.877826954309619
KERO_TRDS_A0_000013,CHTA_MXTR_A0_00258,POSF 3961 (JET A),,48.777111370942954,44.14134847814522,39.505585585347475,9.271525785595479
