stage,epoch,train_total,train_recon,train_kl,train_acc,val_total,val_recon,val_kl,val_acc,cn_mae,beta
1,1,8.686522463093633,8.086659960124804,5998.624745244565,0.42207448748497,2.381668269634247,2.346047043800354,356.2122116088867,0.6400868205011133,,0.0001
1,2,2.3017534587694253,2.239218691120977,312.6738884967306,0.5881401990691945,1.4885703027248383,1.4456573128700256,214.5649757385254,0.6843675739334549,,0.0002
1,3,1.919205525647039,1.8517306783924932,224.91612774392834,0.6088703175854536,1.5355685949325562,1.482799381017685,175.89746475219727,0.6947713196714633,,0.0003
2,1,,,,,,,,,27.750164902001096,
2,2,,,,,,,,,22.942988434730218,
2,3,,,,,,,,,18.72166255482456,
3,1,1545.8963823123058,1.8101198751418317,,,,,,,18.575333623161093,0.002
3,2,1541.1314404342995,1.7185883815171288,,,,,,,18.469789293077255,0.002
3,3,1526.2672482943926,1.6545333705964635,,,,,,,18.435301663582784,0.002
