#=======================================================================================================================
# InTensors - CN mixture SELFIES dataset
#=======================================================================================================================
#
# Author           : Nimal Naser (n2[ⓐⓣ]intensors.com)
# Company          : InTensors
# Version          : 1.3.1
# Created on       : 4 June 2026
# Last modified on : 25 June 2026
#
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
#
#
#-----------------------------------------------------------------------------------------------------------------------
# Changelog
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
# Information
#-----------------------------------------------------------------------------------------------------------------------
# Source: cheetah_mixture_composition.dat joined with cheetah_materials.dat
# (SELFIES) and cheetah_cetane_number.dat (CN, required).
# Unused cpnt_selfies_* slots are NaN.
# Mixture order follows cheetah_mixture.dat.
# Selection: identified components <= 10, or top 10 identified volume fractions >= 95 % of total identified volume when > 10 identified components.
# Unidentified components are excluded from ranking and thresholds.
# cpnt_vol_*: volume fraction (0-1) from mixture_comp_vol (%).
# Source file SHA-256:
# sha256:0b65a4a2dc572bdff5e1806c873cf0c9b926bef4eddea53bf148e5072f95c576  database/cheetah/cheetah_mixture_composition.dat
# sha256:fd67fc95758fc0b6d821719b033220056c85634dc6b1ff80d4af1367ffe33e77  database/cheetah/cheetah_mixture.dat
# sha256:1d13603eddbb4b1b3d570458ad256027ae8f640357a3b0652f0ae490b662cbdd  database/cheetah/cheetah_materials.dat
# sha256:ce7d6cbbd56b26c671f69dcdcaebe097f6e4f5002713180cb96803fd3ed91910  database/cheetah/cheetah_cetane_number.dat
# Source commits:
# git:d85ff2d9701a46efd8a3e2d0bfed3ccf3c4b6ffe  database/cheetah/cheetah_mixture_composition.dat
# git:653076ba7de402ff9412600afa55b507625c6eb6  database/cheetah/cheetah_mixture.dat
# git:d85ff2d9701a46efd8a3e2d0bfed3ccf3c4b6ffe  database/cheetah/cheetah_materials.dat
# git:d85ff2d9701a46efd8a3e2d0bfed3ccf3c4b6ffe  database/cheetah/cheetah_cetane_number.dat
#
#-----------------------------------------------------------------------------------------------------------------------
# Data
#-----------------------------------------------------------------------------------------------------------------------
cn_mxtr_selfies_id	mixture_id	mixture_name	mixture_type	cpnt_selfies_1	cpnt_selfies_2	cpnt_selfies_3	cpnt_selfies_4	cpnt_selfies_5	cpnt_selfies_6	cpnt_selfies_7	cpnt_selfies_8	cpnt_selfies_9	cpnt_selfies_10	cpnt_vol_1	cpnt_vol_2	cpnt_vol_3	cpnt_vol_4	cpnt_vol_5	cpnt_vol_6	cpnt_vol_7	cpnt_vol_8	cpnt_vol_9	cpnt_vol_10	CN
CNMX_TRDS_A0_000010	CHTA_MXTR_A0_000015	PRF 25	surrogate fuel	[C][C][C][C][C][C][C]	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.500000E-01	2.500000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.810000E+01
CNMX_TRDS_A0_000011	CHTA_MXTR_A0_000016	PRF 20	surrogate fuel	[C][C][C][C][C][C][C]	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.000000E-01	2.000000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.910115E+01
CNMX_TRDS_A0_000012	CHTA_MXTR_A0_000018	PRF 10	surrogate fuel	[C][C][C][C][C][C][C]	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.000000E-01	1.000000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.134442E+01
CNMX_TRDS_A0_000013	CHTA_MXTR_A0_000020	PRF 0	surrogate fuel	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	5.382508E+01
CNMX_TRDS_A0_000014	CHTA_MXTR_A0_000024	TRF 70	surrogate fuel	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.000000E-01	3.000000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.984140E+01
CNMX_TRDS_A0_000015	CHTA_MXTR_A0_000025	TRF 60	surrogate fuel	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C][C][C][C][C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000000E-01	4.000000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.579917E+01
CNMX_TRDS_A0_000016	CHTA_MXTR_A0_000026	TRF 50	surrogate fuel	[C][C][C][C][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.000000E-01	5.000000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.097627E+01
CNMX_TRDS_A0_000017	CHTA_MXTR_A0_000027	TRF 40	surrogate fuel	[C][C][C][C][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.000000E-01	4.000000E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.674374E+01
CNMX_TRDS_A0_000018	CHTA_MXTR_A0_000050	TPRF 60-10	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][C][C][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.400549E-01	3.599853E-01	9.995976E-02	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.223099E+01
CNMX_TRDS_A0_000019	CHTA_MXTR_A0_000051	TPRF 60-20	surrogate fuel	[C][C][Branch1][C][C][C][C][Branch1][C][C][Branch1][C][C][C]	[C][C][C][C][C][C][C]	[C][C][=C][C][=C][C][=C][Ring1][=Branch1]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.800693E-01	3.200043E-01	1.999264E-01	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.908025E+01
