,n-paraffins,iso-paraffins,1R-cycloparaffins,2R-cycloparaffins,3R-cycloparaffins,1R-aromatics,2R-aromatics,cycloaromatics
C5,0.000965863699093461,0.0008601002627983689,0.0028757809195667505,0.0,0.0,0.0,0.0,0.0
C6,0.006591650657355785,0.00617987010627985,0.023749683052301407,0.0,0.0,0.0041598607785999775,0.0,0.0
C7,0.0782526284456253,0.06939955800771713,0.17480875551700592,0.0,0.0,0.06352012604475021,0.0,0.0
C8,0.5328322052955627,0.5454214811325073,0.778390109539032,0.059024009853601456,0.0,0.5333573222160339,0.0,0.0
C9,2.376068115234375,2.7279858589172363,1.9742709398269653,0.6805153489112854,0.0,2.038881301879883,0.0043210675939917564,0.028354844078421593
C10,2.9226973056793213,5.980367183685303,3.0437521934509277,1.0447975397109985,0.08916132897138596,2.3567404747009277,0.209034726023674,0.4775671660900116
C11,2.9905686378479004,7.434189796447754,3.027804136276245,1.9110807180404663,0.05125007405877113,1.5031741857528687,0.4388793706893921,0.631642758846283
C12,2.872422218322754,9.689656257629395,2.4497060775756836,2.944394826889038,0.539654016494751,0.7039883136749268,0.37861308455467224,0.6060899496078491
C13,1.6053118705749512,5.1648454666137695,2.276541233062744,1.3369290828704834,0.3888510763645172,0.4720481336116791,0.2245931327342987,0.5306351184844971
C14,1.144377589225769,4.88471794128418,1.436561942100525,0.9360113143920898,0.20435528457164764,0.27336016297340393,0.11516910791397095,0.2694658637046814
C15,0.6727539300918579,3.66106915473938,0.7577176690101624,0.30943697690963745,0.10854621231555939,0.16616442799568176,0.07072409242391586,0.21541419625282288
C16,0.32849615812301636,2.2614409923553467,0.3129548728466034,0.14405697584152222,0.039343226701021194,0.1087925061583519,0.0006172953289933503,0.0
C17,0.09947250783443451,1.5662860870361328,0.10656477510929108,0.050614647567272186,7.798520528012887e-06,0.0012345906579867005,0.0,0.0
C18,0.023858122527599335,0.3265087604522705,0.044613514095544815,0.036879174411296844,0.0,0.0,0.0,0.0
C19,0.008757736533880234,0.06411959230899811,0.0179725531488657,0.0,0.0,0.0,0.0,0.0
C20,0.002385555300861597,0.0,0.005210713483393192,0.0,0.0,0.0,0.0,0.0
C21,0.0008283192873932421,0.0043428810313344,0.007895844988524914,0.0,0.0,0.0,0.0,0.0
C22,0.0006513608968816698,0.005559974350035191,0.0,0.0,0.0,0.0,0.0,0.0
C23,0.0004137015203014016,0.0012443778105080128,0.0,0.0,0.0,0.0,0.0,0.0
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
