,n-paraffins,iso-paraffins,1R-cycloparaffins,2R-cycloparaffins,3R-cycloparaffins,1R-aromatics,2R-aromatics,cycloaromatics
C5,0.0009674975881353021,0.000830747012514621,0.0025419474113732576,0.0,0.0,0.0,0.0,0.0
C6,0.004053836688399315,0.0051560672000050545,0.019493551924824715,0.0,0.0,0.003462625667452812,0.0,0.0
C7,0.0902508944272995,0.07166816294193268,0.15348312258720398,0.0,0.0,0.05722858011722565,0.0,0.0
C8,0.737058162689209,0.6791284680366516,0.6600281000137329,0.0460473895072937,0.0,0.4682786464691162,0.0,0.0
C9,3.2353389263153076,3.72043514251709,1.8310189247131348,0.6993065476417542,0.0,1.8762515783309937,0.002599636558443308,0.025078540667891502
C10,3.578035831451416,7.368900299072266,2.743215560913086,1.00453782081604,0.0957389548420906,2.4630720615386963,0.1994493156671524,0.4992980659008026
C11,3.5228805541992188,8.982504844665527,2.8770906925201416,1.8942368030548096,0.056169215589761734,1.5293090343475342,0.3078863024711609,0.5813826322555542
C12,3.4776813983917236,0.0,2.338423252105713,3.362337112426758,0.6446630954742432,0.6613079905509949,0.3024347424507141,0.5627350807189941
C13,1.9655754566192627,6.62019157409668,2.2261757850646973,1.4287638664245605,0.4749683141708374,0.43887031078338623,0.17721346020698547,0.503425121307373
C14,1.4361896514892578,7.064174652099609,1.4677724838256836,1.1087294816970825,0.2207329273223877,0.259156197309494,0.09063547849655151,0.24815158545970917
C15,0.874994695186615,5.4796905517578125,0.7044418454170227,0.2647630572319031,0.09549536556005478,0.147225022315979,0.05734602361917496,0.1895270049571991
C16,0.4425979256629944,1.5350366830825806,0.2788088917732239,0.11789269745349884,0.03143097832798958,0.08907032012939453,0.00037137666367925704,0.0
C17,0.11412826180458069,2.6603829860687256,0.09480687230825424,0.033438730984926224,6.126886546553578e-06,0.0007427534437738359,0.0,0.0
C18,0.02285064198076725,0.48382508754730225,0.03678775578737259,0.03151979297399521,0.0,0.0,0.0,0.0
C19,0.007631251122802496,0.06269724667072296,0.013678357005119324,0.0,0.0,0.0,0.0,0.0
C20,0.0020743124186992645,0.0,0.004330263007432222,0.0,0.0,0.0,0.0,0.0
C21,0.0009136180160567164,0.004693556111305952,0.0069939084351062775,0.0,0.0,0.0,0.0,0.0
C22,0.0007340496522374451,0.008709467016160488,0.0,0.0,0.0,0.0,0.0,0.0
C23,0.0005401787930168211,0.0011403319658711553,0.0,0.0,0.0,0.0,0.0,0.0
C24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
