,n-paraffins,iso-paraffins,1R-cycloparaffins,2R-cycloparaffins,3R-cycloparaffins,1R-aromatics,2R-aromatics,cycloaromatics
C5,0.0009609620901755989,0.0009481601300649345,0.0038772812113165855,0.0,0.0,0.0,0.0,0.0
C6,0.014205092564225197,0.009251276962459087,0.036518074572086334,0.0,0.0,0.006251565180718899,0.0,0.0
C7,0.04225784167647362,0.06259376555681229,0.23878566920757294,0.0,0.0,0.08239477872848511,0.0,0.0
C8,0.0,0.14430049061775208,1.1334761381149292,0.09795387834310532,0.0,0.7285934090614319,0.0,0.0
C9,0.0,0.0,2.404026985168457,0.6241418719291687,0.0,2.5267701148986816,0.00948535930365324,0.03818375617265701
C10,0.9566820859909058,1.8147690296173096,3.945362091064453,1.1655769348144531,0.069428451359272,2.037745714187622,0.23779094219207764,0.4123745560646057
C11,1.3936320543289185,2.789245128631592,3.479944944381714,1.961612582206726,0.03649264946579933,1.4247695207595825,0.8318585157394409,0.7824230790138245
C12,1.0566449165344238,47.279293060302734,2.7835540771484375,1.6905673742294312,0.22462677955627441,0.8320292830467224,0.6071481108665466,0.7361545562744141
C13,0.5245208740234375,0.7988076210021973,2.4276371002197266,1.0614250898361206,0.13049937784671783,0.5715816020965576,0.366732120513916,0.6122651100158691
C14,0.26894110441207886,0.0,1.3429303169250488,0.41785675287246704,0.1552223563194275,0.31597208976745605,0.18876998126506805,0.3334086537361145
C15,0.06603175401687622,0.0,0.9175450801849365,0.44345876574516296,0.1476987600326538,0.22298267483711243,0.11085830628871918,0.293075829744339
C16,0.0,4.440654277801514,0.41539281606674194,0.22254981100559235,0.06307997554540634,0.167959064245224,0.0013550512958317995,0.0
C17,0.05550524219870567,0.0,0.14183847606182098,0.10214240103960037,1.2813422472390812e-05,0.002710102591663599,0.0,0.0
C18,0.02688055858016014,0.0,0.0680907815694809,0.05295732989907265,0.0,0.0,0.0,0.0
C19,0.012137193232774734,0.06838662177324295,0.030855141580104828,0.0,0.0,0.0,0.0,0.0
C20,0.003319283714517951,0.900470495223999,0.00785206537693739,0.0,0.0,0.0,0.0,0.0
C21,0.000572423217818141,0.003290856722742319,0.010601656511425972,0.0,0.0,0.0,0.0,0.0
C22,0.0004032946890220046,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C23,3.426964394748211e-05,0.0015565153444185853,0.0,0.0,0.0,0.0,0.0,0.0
C24,0.0,0.07588229328393936,0.00014869830920360982,0.0,0.0,0.0,0.0,0.0
