#=======================================================================================================================
# InTensors - SIDT mixture SELFIES dataset (CVWSR-style)
#=======================================================================================================================
#
# Author           : Nimal Naser (n2[ⓐⓣ]intensors.com)
# Company          : InTensors
# Version          : 1.0.0
# Created on       : 30 July 2026
# Last modified on : 30 July 2026
#
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
#
#
#-----------------------------------------------------------------------------------------------------------------------
# Changelog
#-----------------------------------------------------------------------------------------------------------------------
#
#-----------------------------------------------------------------------------------------------------------------------
# Information
#-----------------------------------------------------------------------------------------------------------------------
# Mixture           : propane
# Mixture ID        : CHTA_MXTR_A0_014784
# Source: ZeroRK cvwsr_idt_selfies.dat (CVWSR IDT + mixture SELFIES).
# idt_s: main IDT in seconds (ZeroRK idt_400K_s); NaN if missing.
# First-stage IDT is not written.
# cpnt_vol_*: volume fraction (0-1) from source.
# egr_fraction: exhaust-gas recirculation as fraction (0-1).
# ntc_t_min_K / ntc_t_max_K / has_ntc: joined from
# cvwsr_ntc_bounds_selfies.dat by (P, φ, EGR) when available;
# otherwise NaN / 0.
# Unused cpnt_selfies_* slots are NaN; unused cpnt_vol_* are 0.
# Source file SHA-256:
# sha256:a58bd2c02dba7d26a142eacc7b5f5383d5aed4c79632e93e2757cec899a9ecb9  /home/nimalnaser/Downloads/ZeroRK/dataset_runs/database/maffei2025modeling/C3H8/cvwsr_idt_selfies.dat
# sha256:fc4b5bd6289e56f38c4650caecf24cc710de9d648fc38e35f5fa3694db6032cb  /home/nimalnaser/Downloads/ZeroRK/dataset_runs/database/maffei2025modeling/C3H8/cvwsr_ntc_bounds_selfies.dat
# Source commits:
# git:423833bc11e187a072d044c0402993c86bc84d8e  cvwsr_idt_selfies.dat
#
#-----------------------------------------------------------------------------------------------------------------------
# Data
#-----------------------------------------------------------------------------------------------------------------------
sidt_id	mixture_id	mixture_name	model_name	mixture_type	cpnt_selfies_1	cpnt_selfies_2	cpnt_selfies_3	cpnt_selfies_4	cpnt_selfies_5	cpnt_selfies_6	cpnt_selfies_7	cpnt_selfies_8	cpnt_selfies_9	cpnt_selfies_10	cpnt_vol_1	cpnt_vol_2	cpnt_vol_3	cpnt_vol_4	cpnt_vol_5	cpnt_vol_6	cpnt_vol_7	cpnt_vol_8	cpnt_vol_9	cpnt_vol_10	pressure_bar	temperature_K	phi	egr_fraction	idt_s	ntc_t_min_K	ntc_t_max_K	has_ntc	sidt_sim_date
CHTA_SIDT_A0_000010	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.600000E+01	1.444338E+03	5.904600E-01	2.107186E-01	2.853070E-05	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000011	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.200000E+01	1.173422E+03	1.112246E+00	1.007358E-01	8.736891E-04	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000012	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.652400E+01	1.113581E+03	1.716920E+00	2.761444E-01	NaN	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000013	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.100000E+01	1.365697E+03	6.326726E-01	2.139577E-01	5.212127E-05	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000014	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.000000E+01	9.401096E+02	7.422229E-01	1.748707E-01	5.264751E-03	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000015	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.939841E+01	1.220222E+03	1.786585E+00	2.228474E-01	NaN	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000016	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.400000E+01	1.017621E+03	1.093787E+00	1.799448E-01	1.462251E-03	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000017	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.600588E+01	1.066106E+03	1.835357E+00	8.389649E-02	NaN	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000018	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.800000E+01	1.127967E+03	1.092713E+00	2.489438E-01	1.095442E-03	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000019	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.074384E+01	1.360090E+03	1.955401E+00	4.556081E-03	NaN	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000020	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.100000E+01	1.092230E+03	5.397883E-01	7.417415E-02	2.547011E-03	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000021	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.184233E+01	1.439339E+03	1.953325E+00	2.058385E-01	NaN	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000022	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	2.600000E+01	1.027872E+03	7.871688E-01	5.034035E-02	1.768340E-03	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000023	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.500000E+01	7.784997E+02	5.505828E-01	1.640147E-01	2.436307E-02	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000024	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.900000E+01	1.336192E+03	5.549921E-01	1.991299E-01	5.744640E-05	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000025	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	4.800000E+01	1.440607E+03	1.134861E+00	1.596043E-01	2.069424E-05	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000026	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	3.500000E+01	1.354338E+03	9.583833E-01	2.503745E-01	7.002018E-05	NaN	NaN	0	2026-07-26T11:48:46Z
CHTA_SIDT_A0_000027	CHTA_MXTR_A0_014784	propane	maffei2025modeling	pure component	[C][C][C]	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	0.000000E+00	1.900000E+01	1.417202E+03	1.343628E+00	1.242083E-01	5.488937E-05	NaN	NaN	0	2026-07-26T11:48:46Z
